URL	FILE	SAMPLE_ID
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19308-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19308-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19308-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19308-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	GM19308
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19312-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19312-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19312-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19312-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	GM19312
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19462-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19462-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19462-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19462-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	GM19462
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19471-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19471-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19471-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19471-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	GM19471
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19473-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19473-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/GM19473-ONT-hg38-R9-LSK110-guppy-sup-5mC/GM19473-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	GM19473
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00105-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00105-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00105-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00105-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00105
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00110-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00110-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00110-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00110-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00110
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00121
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00127
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00136
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00151
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00410-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00410-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00410-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00410-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00410
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00473-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00473-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00473-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00473-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00473
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00525-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00525-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00525-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00525-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00525
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00631-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00631-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00631-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00631-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00631
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00675-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00675-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00675-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00675-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00675
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00706
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00728-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00728-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG00728-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG00728-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG00728
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01046-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01046-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01046-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01046-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01046
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01122-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01122-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01122-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01122-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01122
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01281-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01281-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01281-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01281-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01281
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01369-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01369-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01369-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01369-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01369
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01372-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01372-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01372-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01372-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01372
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01395-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01395-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01395-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01395-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01395
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01414-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01414-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01414-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01414-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01414
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01468-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01468-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01468-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01468-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01468
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01615-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01615-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01615-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01615-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01615
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01695-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01695-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01695-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01695-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01695
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01790-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01790-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01790-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01790-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01790
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01797-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01797-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01797-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01797-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01797
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01801-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01801-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01801-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01801-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01801
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01812-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01812-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG01812-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG01812-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG01812
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02048-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02048-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02048-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02048-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02048
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02185-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02185-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02185-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02185-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02185
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02252-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02252-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02252-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02252-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02252
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02262-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02262-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02262-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02262-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02262
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02282-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02282-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02282-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02282-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02282
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02345-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02345-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02345-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02345-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02345
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02373-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02373-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02373-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02373-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02373
https://s3.amazonaws.com/1000g-ont/ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02389-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02389-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	ALIGNMENT_AND_ASSEMBLY_DATA/FIRST_100/IN-HOUSE_MINIMAP2/HG38/HG02389-ONT-hg38-R9-LSK110-guppy-sup-5mC/HG02389-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam	HG02389
